VALUE,CLASS_NAME,RED,GREEN,BLUE,OPACITY
122,Developed/Low Intensity,0.60784313726,0.60784313726,0.60784313726,1.00000000000
123,Developed/Med Intensity,0.60784313726,0.60784313726,0.60784313726,1.00000000000
124,Developed/High Intensity,0.60784313726,0.60784313726,0.60784313726,1.00000000000
131,Barren,0.80000000000,0.74901960784,0.63921568628,1.00000000000
141,Deciduous Forest,0.57647058824,0.80000000000,0.57647058824,1.00000000000
142,Evergreen Forest,0.57647058824,0.80000000000,0.57647058824,1.00000000000
143,Mixed Forest,0.57647058824,0.80000000000,0.57647058824,1.00000000000
152,Shrubland,0.77647058824,0.83921568628,0.61960784314,1.00000000000
176,Grass/Pasture,0.90980392157,1.00000000000,0.74901960784,1.00000000000
190,Woody Wetlands,0.49803921569,0.69803921569,0.69803921569,1.00000000000
195,Herbaceous Wetlands,0.49803921569,0.69803921569,0.69803921569,1.00000000000
204,Pistachios,0.00000000000,1.00000000000,0.54901960784,1.00000000000
205,Triticale,0.83921568628,0.61960784314,0.73725490196,1.00000000000
206,Carrots,1.00000000000,0.40000000000,0.40000000000,1.00000000000
207,Asparagus,1.00000000000,0.40000000000,0.40000000000,1.00000000000
208,Garlic,1.00000000000,0.40000000000,0.40000000000,1.00000000000
209,Cantaloupes,1.00000000000,0.40000000000,0.40000000000,1.00000000000
210,Prunes,1.00000000000,0.55686274510,0.66666666667,1.00000000000
211,Olives,0.20000000000,0.28627450980,0.20000000000,1.00000000000
212,Oranges,0.89803921569,0.43921568628,0.14901960784,1.00000000000
213,Honeydew Melons,1.00000000000,0.40000000000,0.40000000000,1.00000000000
214,Broccoli,1.00000000000,0.40000000000,0.40000000000,1.00000000000
216,Peppers,1.00000000000,0.40000000000,0.40000000000,1.00000000000
217,Pomegranates,0.69803921569,0.60784313726,0.43921568628,1.00000000000
218,Nectarines,1.00000000000,0.55686274510,0.66666666667,1.00000000000
219,Greens,1.00000000000,0.40000000000,0.40000000000,1.00000000000
220,Plums,1.00000000000,0.55686274510,0.66666666667,1.00000000000
221,Strawberries,1.00000000000,0.40000000000,0.40000000000,1.00000000000
222,Squash,1.00000000000,0.40000000000,0.40000000000,1.00000000000
223,Apricots,1.00000000000,0.55686274510,0.66666666667,1.00000000000
224,Vetch,0.00000000000,0.68627450980,0.29803921569,1.00000000000
225,Dbl Crop WinWht/Corn,1.00000000000,0.82745098039,0.00000000000,1.00000000000
226,Dbl Crop Oats/Corn,1.00000000000,0.82745098039,0.00000000000,1.00000000000
227,Lettuce,1.00000000000,0.40000000000,0.40000000000,1.00000000000
229,Pumpkins,1.00000000000,0.40000000000,0.40000000000,1.00000000000
230,Dbl Crop Lettuce/Durum Wht,0.53725490196,0.38823529412,0.32941176471,1.00000000000
231,Dbl Crop Lettuce/Cantaloupe,1.00000000000,0.40000000000,0.40000000000,1.00000000000
232,Dbl Crop Lettuce/Cotton,1.00000000000,0.14901960784,0.14901960784,1.00000000000
233,Dbl Crop Lettuce/Barley,0.88627450980,0.00000000000,0.48627450980,1.00000000000
234,Dbl Crop Durum Wht/Sorghum,1.00000000000,0.61960784314,0.04705882353,1.00000000000
235,Dbl Crop Barley/Sorghum,1.00000000000,0.61960784314,0.04705882353,1.00000000000
236,Dbl Crop WinWht/Sorghum,0.64705882353,0.43921568628,0.00000000000,1.00000000000
237,Dbl Crop Barley/Corn,1.00000000000,0.82745098039,0.00000000000,1.00000000000
238,Dbl Crop WinWht/Cotton,0.64705882353,0.43921568628,0.00000000000,1.00000000000
239,Dbl Crop Soybeans/Cotton,0.14901960784,0.43921568628,0.00000000000,1.00000000000
240,Dbl Crop Soybeans/Oats,0.14901960784,0.43921568628,0.00000000000,1.00000000000
241,Dbl Crop Corn/Soybeans,1.00000000000,0.82745098039,0.00000000000,1.00000000000
242,Blueberries,0.00000000000,0.00000000000,0.60000000000,1.00000000000
243,Cabbage,1.00000000000,0.40000000000,0.40000000000,1.00000000000
244,Cauliflower,1.00000000000,0.40000000000,0.40000000000,1.00000000000
245,Celery,1.00000000000,0.40000000000,0.40000000000,1.00000000000
246,Radishes,1.00000000000,0.40000000000,0.40000000000,1.00000000000
247,Turnips,1.00000000000,0.40000000000,0.40000000000,1.00000000000
248,Eggplants,1.00000000000,0.40000000000,0.40000000000,1.00000000000
249,Gourds,1.00000000000,0.40000000000,0.40000000000,1.00000000000
250,Cranberries,1.00000000000,0.40000000000,0.40000000000,1.00000000000
254,Dbl Crop Barley/Soybeans,0.14901960784,0.43921568628,0.00000000000,1.00000000000
